Date,Open,High,Low,Close,Volume,Adj Close
4/5/2013,66.27,68.25,65.71,68.14,1905100,68.14
4/4/2013,66.64,67.85,66.56,67.52,1688600,67.52
4/3/2013,68.29,68.49,66.11,66.47,2513200,66.47
4/2/2013,69.4,69.42,68.03,68.2,1570100,68.2
4/1/2013,69.73,69.91,68.97,69.14,1164800,69.14
3/28/2013,69.23,70.48,69.12,69.87,1325100,69.87
3/27/2013,68.85,69.33,67.77,69.07,1962500,69.07
3/26/2013,69.47,69.94,68.93,69.23,1466900,69.23
3/25/2013,70.55,70.67,68.88,68.99,1423800,68.99
3/22/2013,70.91,71.15,69.6,70.11,1772000,70.11
3/21/2013,72.09,72.24,70.46,70.48,2770900,70.48
3/20/2013,73.21,73.83,72.96,73.18,661700,73.18
3/19/2013,72.96,73.56,71.8,72.77,903600,72.77
3/18/2013,71.54,73,71.54,72.83,1134800,72.83
3/15/2013,72.81,73.41,72.53,72.6,1230900,72.6
3/14/2013,73.22,73.58,72.92,73.25,739000,73.25
3/13/2013,73.04,73.05,72.18,72.72,804300,72.72
3/12/2013,72.59,73.42,72.35,73.16,1033900,72.86
3/11/2013,72.19,72.8,71.59,72.78,818700,72.48
3/8/2013,72.59,73.13,71.77,72.23,1240900,71.93
3/7/2013,71.87,72.26,71.3,72.02,1200100,71.72
3/6/2013,71.65,72.31,71.37,72,1177200,71.7
3/5/2013,70.28,71.48,70.02,71.12,1333900,70.83
3/4/2013,69.3,70.03,68.55,69.78,1537100,69.49
3/1/2013,69.09,70.02,68.29,69.71,2630000,69.42
2/28/2013,70.78,71.22,69.72,69.73,1730400,69.44
2/27/2013,68.9,71.34,68.8,70.79,2044500,70.5
2/26/2013,68.47,68.93,67.41,68.57,1954700,68.29
2/25/2013,71.78,71.78,67.94,68,2332400,67.72
2/22/2013,69.26,71.73,69.25,71.69,2124700,71.4
2/21/2013,70.14,70.21,67.27,68.72,3844400,68.44
2/20/2013,73.31,73.41,70.2,70.22,1976600,69.93
2/19/2013,73.8,73.97,73.29,73.43,1105700,73.13
2/15/2013,74.14,74.71,73.05,73.46,2525800,73.16
2/14/2013,74.43,74.55,73.76,74.08,1904100,73.78
2/13/2013,74.26,75.18,74.13,74.78,1411700,74.47
2/12/2013,74.1,74.36,73.37,73.93,991200,73.63
2/11/2013,73.34,74.27,73.17,74.13,1033900,73.83
2/8/2013,72.51,73.32,72.45,73.31,911100,73.01
2/7/2013,72.93,73.03,71.57,72.47,965800,72.17
2/6/2013,72.57,73,72.15,72.77,1086600,72.47
2/5/2013,73.02,73.3,72.56,72.88,1423200,72.58
2/4/2013,72.92,73.09,71.78,72.48,1676700,72.18
2/1/2013,72.13,74.31,71.1,73.5,2824700,73.2
1/31/2013,71.1,72.43,70.79,71.15,2130700,70.86
1/30/2013,72.25,72.72,71.32,71.51,1507900,71.22
